rank,title,link,director,actor,image_link,year,country,typ,score,people,words
53,美丽心灵,https://movie.douban.com/subject/1306029/,朗·霍华德 Ron Howard,罗素·克劳 Russell Crowe / 艾德·哈...,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1665997400.jpg,2001,美国,传记 剧情,8.9,377648人评价,爱是一切逻辑和原由。
54,饮食男女,https://movie.douban.com/subject/1291818/,李安 Ang Lee,郎雄 Sihung Lung / 杨贵媚 Kuei-Mei Yang / 吴...,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1910899751.jpg,1994,台湾 美国,剧情 家庭,9.1,261525人评价,人生不能像做菜，把所有的料都准备好了才下锅。
55,情书,https://movie.douban.com/subject/1292220/,岩井俊二 Shunji Iwai,中山美穗 Miho Nakayama / 丰川悦司 Ets...,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p449897379.jpg,1995,日本,剧情 爱情,8.8,467455人评价,暗恋的极致。
56,素媛,https://movie.douban.com/subject/21937452/,李濬益 Jun-ik Lee,薛景求 Kyung-gu Sol / 严志媛 Ji-won Uhm ...,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2118532944.jpg,2013,韩国,剧情,9.1,247846人评价,受过伤害的人总是笑得最开心，因为他们不愿意让身边的人承受一样的痛苦。
57,狮子王,https://movie.douban.com/subject/1301753/,Roger Allers / 罗伯·明可夫 Rob Minkoff,乔纳森·泰勒·托马...,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p726659067.jpg,1994,美国,剧情 动画 冒险 歌舞 家庭,8.9,358844人评价,动物版《哈姆雷特》。
58,钢琴家,https://movie.douban.com/subject/1296736/,罗曼·波兰斯基 Roman Polanski,艾德里安·布洛迪 Adrien Brod...,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p792484461.jpg,2002,法国 德国 英国 波兰,剧情 传记 历史 战争 音乐,9.1,249304人评价,音乐能化解仇恨。
59,末代皇帝,https://movie.douban.com/subject/1293172/,贝纳尔多·贝托鲁奇 Bernardo Bertolucci,尊龙 John Lone / 陈...,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p452089833.jpg,1987,英国 意大利 中国大陆 法国 美国,剧情 传记 历史,9.1,253130人评价,“不要跟我比惨，我比你更惨”再适合这部电影不过了。
60,美国往事,https://movie.douban.com/subject/1292262/,赛尔乔·莱翁内 Sergio Leone,罗伯特·德尼罗 Robert De Niro ...,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p477229647.jpg,1984,意大利 美国,犯罪 剧情,9.1,214526人评价,往事如烟，无处祭奠。
61,小鞋子,https://movie.douban.com/subject/1303021/,马基德·马基迪 Majid Majidi,Amir Farrokh Hashemian / 默罕...,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2165511465.jpg,1997,伊朗,剧情 家庭 儿童,9.2,180771人评价,奔跑的孩子是天使。
62,七宗罪,https://movie.douban.com/subject/1292223/,大卫·芬奇 David Fincher,摩根·弗里曼 Morgan Freeman / 布...,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p457631605.jpg,1995,美国,剧情 犯罪 悬疑 惊悚,8.8,519861人评价,警察抓小偷，老鼠玩死猫。
63,被嫌弃的松子的一生,https://movie.douban.com/subject/1787291/,中岛哲也 Tetsuya Nakashima,中谷美纪 Miki Nakatani / 瑛太 E...,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p453723669.jpg,2006,日本,剧情 歌舞,8.9,375314人评价,以戏谑来戏谑戏谑。
64,本杰明·巴顿奇事,https://movie.douban.com/subject/1485260/,大卫·芬奇 David Fincher,凯特·布兰切特 Cate Blanchett / ...,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2192535722.jpg,2008,美国,剧情 爱情 奇幻,8.8,485023人评价,在时间之河里感受溺水之苦。
65,致命魔术,https://movie.douban.com/subject/1780330/,克里斯托弗·诺兰 Christopher Nolan,休·杰克曼 Hugh Jackman...,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p480383375.jpg,2006,美国 英国,剧情 悬疑 惊悚,8.8,425044人评价,孪生蝙蝠侠大战克隆金刚狼。
66,西西里的美丽传说,https://movie.douban.com/subject/1292402/,朱塞佩·托纳多雷 Giuseppe Tornatore,莫妮卡·贝鲁奇 Monica ...,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p792400696.jpg,2000,意大利 美国,剧情 战争 情色,8.8,452298人评价,美丽无罪。
67,黑客帝国,https://movie.douban.com/subject/1291843/,安迪·沃卓斯基 Andy Wachowski / 拉娜·沃卓斯基 Lana Wachowski,.,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p451926968.jpg,1999,美国 澳大利亚,动作 科幻,8.9,357706人评价,视觉革命。
68,让子弹飞,https://movie.douban.com/subject/3742360/,姜文 Wen Jiang,姜文 Wen Jiang / 葛优 You Ge / 周润发 Yun-F...,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1512562287.jpg,2010,中国大陆 香港,剧情 喜剧 动作 西部,8.7,791624人评价,你给我翻译翻译，神马叫做TMD的惊喜。
69,拯救大兵瑞恩,https://movie.douban.com/subject/1292849/,史蒂文·斯皮尔伯格 Steven Spielberg,汤姆·汉克斯 Tom Hanks...,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1014542496.jpg,1998,美国,剧情 历史 战争,8.9,305847人评价,美利坚精神输出大片No1.
70,看不见的客人,https://movie.douban.com/subject/26580232/,奥里奥尔·保罗 Oriol Paulo,马里奥·卡萨斯 Mario Casas / 阿...,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2498971355.jpg,2016,西班牙,剧情 犯罪 悬疑 惊悚,8.7,482658人评价,你以为你以为的就是你以为的。
71,天使爱美丽,https://movie.douban.com/subject/1292215/,让-皮埃尔·热内 Jean-Pierre Jeunet,奥黛丽·塔图 Audrey Tau...,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p803896904.jpg,2001,法国 德国,喜剧 爱情,8.7,578173人评价,法式小清新。 
72,音乐之声,https://movie.douban.com/subject/1294408/,Robert Wise,朱丽·安德鲁斯 Julie Andrews / 克里斯托弗·普...,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p453788577.jpg,1965,美国,剧情 传记 爱情 歌舞,8.9,284925人评价,用音乐化解仇恨，让歌声串起美好。
73,低俗小说,https://movie.douban.com/subject/1291832/,昆汀·塔伦蒂诺 Quentin Tarantino,约翰·特拉沃尔塔 John Tra...,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1910902213.jpg,1994,美国,剧情 喜剧 犯罪,8.8,417134人评价,故事的高级讲法。
74,勇敢的心,https://movie.douban.com/subject/1294639/,梅尔·吉布森 Mel Gibson,梅尔·吉布森 Mel Gibson / 苏菲·玛...,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1374546770.jpg,1995,美国,动作 传记 剧情 历史 战争,8.8,346654人评价,史诗大片的典范。
75,大闹天宫,https://movie.douban.com/subject/1418019/,万籁鸣 Laiming Wan / 唐澄 Cheng  Tang,邱岳峰 Yuefeng Qiu /...,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2184505167.jpg,1961(中国大陆),1964(中国大陆),1978(中国大陆),9.3,140163人评价,经典之作，历久弥新。
76,剪刀手爱德华,https://movie.douban.com/subject/1292370/,Tim Burton,约翰尼·德普 Johnny Depp / 薇诺娜·瑞德 Winona ...,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p480956937.jpg,1990,美国,剧情 奇幻 爱情,8.7,588286人评价,浪漫忧郁的成人童话。
77,沉默的羔羊,https://movie.douban.com/subject/1293544/,乔纳森·戴米 Jonathan Demme,朱迪·福斯特 Jodie Foster / 安...,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1593414327.jpg,1991,美国,剧情 犯罪 惊悚,8.8,425575人评价,安东尼·霍普金斯的顶级表演。
78,哈利·波特与魔法石,https://movie.douban.com/subject/1295038/,Chris Columbus,Daniel Radcliffe / Emma Watson / Rupert Grint,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p804947166.jpg,2001,美国 英国,奇幻 冒险,8.8,360415人评价,童话世界的开端。
79,蝴蝶效应,https://movie.douban.com/subject/1292343/,埃里克·布雷斯 Eric Bress / J·麦基·格鲁伯 J. Mackye Gruber,.,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2209066019.jpg,2004,美国 加拿大,剧情 悬疑 科幻 惊悚,8.7,467568人评价,人的命运被自己瞬间的抉择改变。
80,春光乍泄,https://movie.douban.com/subject/1292679/,王家卫 Kar Wai Wong,张国荣 Leslie Cheung / 梁朝伟 Tony Leu...,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p465939041.jpg,1997,香港 日本 韩国,剧情 爱情 同性,8.8,308092人评价,爱情纠缠，男女一致。
